comment_id,post_id,comment_text,comment_datetime,cleaned_text,polarity,sentiment,relatability_score,relatability
UgygIUu3ZN9DdoDuP6x4AaABAg,aK-8RoZ7qNw,"This video was completed a few weeks ago, but we held back on releasing it while restructuring Psych2Go for long-term sustainability. We read all your supportive comments, and they mean the world to us. Moving forward, we want to rely less on unpredictable YouTube revenue so we can keep creating the content you love.

We are considering a $1/month channel membership or subscription model that gives you access to exclusive monthly content, including digital and physical editions of our Psych2Go magazine series and merch discounts.

Would you be interested in supporting us for $1/month to help fund future content? Let us know in the comments below! We added the details here. It would mean the world to hear your thoughts good or bad on this. We want to make it work so we can continue to do more things for those who need it, no matter how much hate there are. 

https://psych2go.shop/products/psych2go-monthly-pledge?",2026-09-11T21:59:58Z,"this video was completed a few weeks ago, but we held back on releasing it while restructuring psych2go for long-term sustainability. we read all your supportive comments, and they mean the world to us. moving forward, we want to rely less on unpredictable youtube revenue so we can keep creating the content you love. we are considering a $1/month channel membership or subscription model that gives you access to exclusive monthly content, including digital and physical editions of our psych2go magazine series and merch discounts. would you be interested in supporting us for $1/month to help fund future content? let us know in the comments below! we added the details here. it would mean the world to hear your thoughts good or bad on this. we want to make it work so we can continue to do more things for those who need it, no matter how much hate there are.",0.0024509803921568605,Positive,2,Neutral
UgyDlJ2VqRJrPLD3apl4AaABAg,aK-8RoZ7qNw,"Can you deep dive into someone who have overcomed their childhood traumas on their own, why do they obsess to know more about behavioural analysis and relationships? They want to study people in one glance which isn't possible always.",2026-09-12T10:11:24Z,"can you deep dive into someone who have overcomed their childhood traumas on their own, why do they obsess to know more about behavioural analysis and relationships? they want to study people in one glance which isn't possible always.",0.275,Positive,0,Neutral
Ugx8bzD2jwolo6HuV494AaABAg,aK-8RoZ7qNw,"Point 3 is a harsh one IMO, almost feels like it's singling out Autistic, ADHD people.

Also I would NOT be endorsing AI use for anything especially in the context of intelligence when it's known to reduce cognitive abilities and 9 times out of 10 it just tells you what you want to hear.",2026-09-12T10:06:55Z,"point 3 is a harsh one imo, almost feels like it's singling out autistic, adhd people. also i would not be endorsing ai use for anything especially in the context of intelligence when it's known to reduce cognitive abilities and 9 times out of 10 it just tells you what you want to hear.",-0.13333333333333333,Negative,2,Neutral
UgzSjmPDGbqcKW5jlWF4AaABAg,aK-8RoZ7qNw,"This video made me think through a few things. 
First how much I work on myself everyday without knowing.
Secondly is there a similar way maybe to improve life with autism. I think about changing cognitive paterns or something similar. It would be really good to know. I often see and sadly experience myself how society outcast people who are on the spectrum somewere.",2026-09-12T10:05:34Z,this video made me think through a few things. first how much i work on myself everyday without knowing. secondly is there a similar way maybe to improve life with autism. i think about changing cognitive paterns or something similar. it would be really good to know. i often see and sadly experience myself how society outcast people who are on the spectrum somewere.,0.027777777777777776,Positive,2,Neutral
Ugwdmo592s26IQQFbzJ4AaABAg,aK-8RoZ7qNw,"Rigid thinking patterns are often the invisible force that breaks long-term friendships. As we enter different life stages, the old 'rules' of our connections have to change. If we hold onto rigid expectations—like demanding a perfect 50/50 balance when a friend is navigating a new baby or a massive career shift—the friendship fractures. Cognitive flexibility is exactly what allows adult friendships to bend, adapt, and survive different seasons instead of breaking. Such a crucial topic!",2026-09-12T09:50:33Z,"rigid thinking patterns are often the invisible force that breaks long-term friendships. as we enter different life stages, the old 'rules' of our connections have to change. if we hold onto rigid expectations—like demanding a perfect 50/50 balance when a friend is navigating a new baby or a massive career shift—the friendship fractures. cognitive flexibility is exactly what allows adult friendships to bend, adapt, and survive different seasons instead of breaking. such a crucial topic!",0.15863636363636363,Positive,2,Neutral
UgydP3HfiaPwD-jGgP94AaABAg,aK-8RoZ7qNw,"Cognitive rigidity is a silent killer of intimacy. In romantic relationships, getting stuck in a rigid 'I am right, you are wrong' mindset completely shuts down connection. We stop listening to understand and only listen to reply. True emotional intelligence in a partnership isn't about never arguing; it requires the cognitive flexibility to sit in the 'other chair' and validate your partner's reality, even when you disagree. Thank you for shedding light on how rigid thinking holds us back from true closeness!",2026-09-12T09:47:58Z,"cognitive rigidity is a silent killer of intimacy. in romantic relationships, getting stuck in a rigid 'i am right, you are wrong' mindset completely shuts down connection. we stop listening to understand and only listen to reply. true emotional intelligence in a partnership isn't about never arguing; it requires the cognitive flexibility to sit in the 'other chair' and validate your partner's reality, even when you disagree. thank you for shedding light on how rigid thinking holds us back from true closeness!",0.06097374847374847,Positive,2,Neutral
UgwS3fpPrjiPFsgQjIF4AaABAg,aK-8RoZ7qNw,Psych2Go when the card declines:,2026-09-12T09:38:47Z,psych2go when the card declines:,0.0,Neutral,0,Neutral
Ugx_6EoqDp_GINdQZ4V4AaABAg,aK-8RoZ7qNw,Ai only repeats your thoughts back at you. It doesn’t give you new thoughts. Have you ever heard of Ai phychosis,2026-09-12T09:31:17Z,ai only repeats your thoughts back at you. it doesn’t give you new thoughts. have you ever heard of ai phychosis,0.04545454545454545,Positive,0,Neutral
UgySFdZjU3v339l90U94AaABAg,aK-8RoZ7qNw,"Off topic but... 
I'll actually enjoy your crush videos! 
And will love to watch more of it!! : D",2026-09-12T09:23:29Z,off topic but... i'll actually enjoy your crush videos! and will love to watch more of it!! : d,0.59375,Positive,0,Neutral
UgwhN8U39HUFmvhuejF4AaABAg,aK-8RoZ7qNw,"In my opinion, one of the most admirable traits one can have is the persistence in using one's brain. One acquaintance I had long ago would not have scored high on an IQ-test - but he was kind and curious and tirelessly applied what he had and would arrive at conclusions similar to the rest of us, it just took a bit longer.

The trap of mental laziness is very alluring and easy to fall into - I really respect people who avoid it.",2026-09-12T09:07:07Z,"in my opinion, one of the most admirable traits one can have is the persistence in using one's brain. one acquaintance i had long ago would not have scored high on an iq-test - but he was kind and curious and tirelessly applied what he had and would arrive at conclusions similar to the rest of us, it just took a bit longer. the trap of mental laziness is very alluring and easy to fall into - i really respect people who avoid it.",0.1843333333333333,Positive,0,Neutral
